TEXT,EMOTION
I know I can solve these questions. while studying Chemistry.,confident
I've tried many times but still can't solve it. while studying English.,frustrated
I feel great after understanding it. while studying Data Structures.,happy
I feel disappointed with my marks. while studying History.,sad
I'm worried about tomorrow's exam. while studying English.,anxious
This assignment is stressing me. while studying History.,frustrated
I'm confident about this subject. while studying Algorithms.,confident
The test is making me nervous. while studying Machine Learning.,anxious
I cannot follow the steps. while studying Chemistry.,confused
I'm ready for the exam. while studying Python.,confident
I know I can solve these questions. while studying Data Structures.,confident
I'm ready for the exam. while studying Data Structures.,confident
The test is making me nervous. while studying Python.,anxious
I'm confident about this subject. while studying Algorithms.,confident
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I feel discouraged. while studying Data Structures.,sad
I want to understand this concept better. while studying Machine Learning.,curious
I've tried many times but still can't solve it. while studying Mathematics.,frustrated
Nothing seems to work. while studying Data Structures.,frustrated
I feel great after understanding it. while studying Data Structures.,happy
I don't think I'm prepared. while studying Algorithms.,anxious
I'm confident about this subject. while studying Algorithms.,confident
I'm happy with my progress. while studying Python.,happy
The test is making me nervous. while studying Python.,anxious
I know I can solve these questions. while studying Biology.,confident
I'm happy with my progress. while studying Chemistry.,happy
I feel great after understanding it. while studying Chemistry.,happy
This lesson is boring. while studying Data Structures.,bored
I enjoy exploring how this works. while studying Mathematics.,curious
I solved the problem successfully. while studying Biology.,happy
I enjoy exploring how this works. while studying History.,curious
This assignment is stressing me. while studying History.,frustrated
I'm sad because I failed. while studying Physics.,sad
I understand everything clearly. while studying Data Structures.,confident
This chapter makes me ask many questions. while studying Machine Learning.,curious
I studied hard but didn't succeed. while studying Data Structures.,sad
I can't stay focused. while studying English.,bored
I don't think I'm prepared. while studying Mathematics.,anxious
I'm losing interest. while studying Mathematics.,bored
I'm losing interest. while studying History.,bored
I know I can solve these questions. while studying Algorithms.,confident
I don't think I'm prepared. while studying Physics.,anxious
This chapter makes me ask many questions. while studying Mathematics.,curious
I keep making mistakes and feel frustrated. while studying Mathematics.,frustrated
Learning this was fun. while studying Mathematics.,happy
I'm confident about this subject. while studying Machine Learning.,confident
Nothing seems to work. while studying Mathematics.,frustrated
I'm sad because I failed. while studying English.,sad
The test is making me nervous. while studying Chemistry.,anxious
I've tried many times but still can't solve it. while studying English.,frustrated
I know I can solve these questions. while studying English.,confident
I'm happy with my progress. while studying Mathematics.,happy
I don't understand this lesson. while studying Physics.,confused
I'm worried about tomorrow's exam. while studying Mathematics.,anxious
I'm losing interest. while studying History.,bored
I'm losing interest. while studying Algorithms.,bored
This assignment is stressing me. while studying Physics.,frustrated
I don't understand this lesson. while studying Mathematics.,confused
This assignment is stressing me. while studying Machine Learning.,frustrated
I'm confident about this subject. while studying Biology.,confident
I've tried many times but still can't solve it. while studying English.,frustrated
I'm losing interest. while studying Python.,bored
Learning this was fun. while studying Machine Learning.,happy
I studied hard but didn't succeed. while studying History.,sad
I can't stay focused. while studying Biology.,bored
I'm worried about tomorrow's exam. while studying Machine Learning.,anxious
I'm sad because I failed. while studying History.,sad
I feel discouraged. while studying Python.,sad
I want to understand this concept better. while studying Physics.,curious
I keep making mistakes and feel frustrated. while studying Physics.,frustrated
Nothing seems to work. while studying Chemistry.,frustrated
I can't stay focused. while studying History.,bored
I don't understand this lesson. while studying Algorithms.,confused
I'm losing interest. while studying Chemistry.,bored
Nothing seems to work. while studying Chemistry.,frustrated
This topic doesn't make sense to me. while studying Python.,confused
This lesson is boring. while studying Algorithms.,bored
I feel disappointed with my marks. while studying Algorithms.,sad
I'm ready for the exam. while studying Python.,confident
Learning this was fun. while studying Biology.,happy
I'm confident about this subject. while studying History.,confident
I can't stay focused. while studying Mathematics.,bored
The test is making me nervous. while studying Algorithms.,anxious
I feel great after understanding it. while studying Physics.,happy
I'm ready for the exam. while studying Machine Learning.,confident
I want to understand this concept better. while studying History.,curious
I cannot follow the steps. while studying Biology.,confused
I cannot follow the steps. while studying Data Structures.,confused
I'm happy with my progress. while studying History.,happy
I want to understand this concept better. while studying English.,curious
I solved the problem successfully. while studying Mathematics.,happy
I'm worried about tomorrow's exam. while studying Biology.,anxious
I feel discouraged. while studying Data Structures.,sad
This lesson is boring. while studying Data Structures.,bored
I want to understand this concept better. while studying Machine Learning.,curious
I cannot follow the steps. while studying English.,confused
I don't understand this lesson. while studying History.,confused
I don't understand this lesson. while studying Machine Learning.,confused
This chapter makes me ask many questions. while studying History.,curious
I'm worried about tomorrow's exam. while studying Biology.,anxious
I understand everything clearly. while studying Physics.,confident
Learning this was fun. while studying Algorithms.,happy
I studied hard but didn't succeed. while studying Algorithms.,sad
I'm interested in learning more about this topic. while studying Python.,curious
I feel discouraged. while studying Mathematics.,sad
I'm losing interest. while studying Physics.,bored
I solved the problem successfully. while studying Algorithms.,happy
I feel disappointed with my marks. while studying Mathematics.,sad
I want to understand this concept better. while studying English.,curious
The class feels too slow. while studying Data Structures.,bored
I'm ready for the exam. while studying Mathematics.,confident
I know I can solve these questions. while studying Python.,confident
The test is making me nervous. while studying History.,anxious
I don't think I'm prepared. while studying Algorithms.,anxious
The class feels too slow. while studying Physics.,bored
I keep making mistakes and feel frustrated. while studying Chemistry.,frustrated
I can't stay focused. while studying Chemistry.,bored
I keep making mistakes and feel frustrated. while studying Data Structures.,frustrated
I'm afraid I'll fail. while studying History.,anxious
The explanation is confusing. while studying Physics.,confused
This chapter makes me ask many questions. while studying Chemistry.,curious
I solved the problem successfully. while studying History.,happy
Nothing seems to work. while studying Chemistry.,frustrated
I cannot follow the steps. while studying English.,confused
I feel discouraged. while studying Mathematics.,sad
I feel great after understanding it. while studying Biology.,happy
I'm interested in learning more about this topic. while studying Algorithms.,curious
I enjoy exploring how this works. while studying English.,curious
I keep making mistakes and feel frustrated. while studying Python.,frustrated
I've tried many times but still can't solve it. while studying Biology.,frustrated
I'm interested in learning more about this topic. while studying History.,curious
I've tried many times but still can't solve it. while studying Algorithms.,frustrated
This lesson is boring. while studying Mathematics.,bored
I'm happy with my progress. while studying History.,happy
I understand everything clearly. while studying Algorithms.,confident
I'm confident about this subject. while studying History.,confident
I'm losing interest. while studying English.,bored
I'm losing interest. while studying English.,bored
I've tried many times but still can't solve it. while studying Machine Learning.,frustrated
I'm afraid I'll fail. while studying Mathematics.,anxious
I'm happy with my progress. while studying Machine Learning.,happy
This assignment is stressing me. while studying Chemistry.,frustrated
The class feels too slow. while studying Python.,bored
I'm confident about this subject. while studying Physics.,confident
This assignment is stressing me. while studying Biology.,frustrated
I want to understand this concept better. while studying Chemistry.,curious
I'm happy with my progress. while studying English.,happy
I feel great after understanding it. while studying Mathematics.,happy
I'm ready for the exam. while studying Chemistry.,confident
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
The explanation is confusing. while studying Algorithms.,confused
Nothing seems to work. while studying Biology.,frustrated
I'm afraid I'll fail. while studying Biology.,anxious
I feel discouraged. while studying Python.,sad
Nothing seems to work. while studying History.,frustrated
Learning this was fun. while studying Algorithms.,happy
I'm ready for the exam. while studying Python.,confident
I'm confident about this subject. while studying Algorithms.,confident
I don't think I'm prepared. while studying Data Structures.,anxious
The test is making me nervous. while studying Mathematics.,anxious
I feel great after understanding it. while studying History.,happy
I know I can solve these questions. while studying Biology.,confident
I solved the problem successfully. while studying Machine Learning.,happy
I studied hard but didn't succeed. while studying English.,sad
This topic doesn't make sense to me. while studying Physics.,confused
This chapter makes me ask many questions. while studying History.,curious
I studied hard but didn't succeed. while studying History.,sad
I enjoy exploring how this works. while studying Biology.,curious
The test is making me nervous. while studying Chemistry.,anxious
This chapter makes me ask many questions. while studying English.,curious
I feel great after understanding it. while studying Physics.,happy
I want to understand this concept better. while studying Data Structures.,curious
I feel disappointed with my marks. while studying Chemistry.,sad
I understand everything clearly. while studying History.,confident
I cannot follow the steps. while studying Machine Learning.,confused
I'm ready for the exam. while studying Algorithms.,confident
The test is making me nervous. while studying Machine Learning.,anxious
I can't stay focused. while studying Physics.,bored
The test is making me nervous. while studying Algorithms.,anxious
I'm ready for the exam. while studying Biology.,confident
I'm afraid I'll fail. while studying Mathematics.,anxious
I enjoy exploring how this works. while studying Biology.,curious
I'm confident about this subject. while studying Data Structures.,confident
I've tried many times but still can't solve it. while studying English.,frustrated
I don't think I'm prepared. while studying Chemistry.,anxious
I'm happy with my progress. while studying Data Structures.,happy
I studied hard but didn't succeed. while studying Machine Learning.,sad
I feel disappointed with my marks. while studying English.,sad
I feel great after understanding it. while studying Algorithms.,happy
I'm happy with my progress. while studying English.,happy
I've tried many times but still can't solve it. while studying Mathematics.,frustrated
I feel great after understanding it. while studying Mathematics.,happy
I'm afraid I'll fail. while studying Biology.,anxious
